BurCode,BurDesc,DeptCode,Disabled,CreateDT,CreateUser,LastUpdateDT,LastUpdateUser
010,LEGISLATIVE-MAYOR'S OFFICE,01,False,2014-11-21 10:38:26.263000000,STPPE_Batch,2016-10-12 06:11:35.423000000,PT_Batch
011,LEGISLATIVE-COUNCIL DISTRICT 1,01,False,2016-10-12 06:11:35.470000000,PT_Batch,2016-10-12 06:11:35.470000000,PT_Batch
012,LEGISLATIVE-COUNCIL DISTRICT 2,01,False,2016-10-12 06:11:35.517000000,PT_Batch,2016-10-12 06:11:35.517000000,PT_Batch
013,LEGISLATIVE-COUNCIL DISTRICT 3,01,False,2016-10-12 06:11:35.517000000,PT_Batch,2016-10-12 06:11:35.517000000,PT_Batch
014,LEGISLATIVE-COUNCIL DISTRICT 4,01,False,2016-10-12 06:11:35.517000000,PT_Batch,2016-10-12 06:11:35.517000000,PT_Batch
015,LEGISLATIVE-COUNCIL DISTRICT 5,01,False,2016-10-12 06:11:35.533000000,PT_Batch,2016-10-12 06:11:35.533000000,PT_Batch
016,LEGISLATIVE-COUNCIL DISTRICT 6,01,False,2016-10-12 06:11:35.533000000,PT_Batch,2016-10-12 06:11:35.533000000,PT_Batch
017,LEGISLATIVE-COUNCIL DISTRICT 7,01,False,2016-10-12 06:11:35.533000000,PT_Batch,2016-10-12 06:11:35.533000000,PT_Batch
018,LEGISLATIVE-COUNCIL DISTRICT 8,01,False,2016-10-12 06:11:35.533000000,PT_Batch,2016-10-12 06:11:35.533000000,PT_Batch
019,LEGISLATIVE-COUNCIL DISTRICT 9,01,False,2016-10-12 06:11:35.550000000,PT_Batch,2016-10-12 06:11:35.550000000,PT_Batch
030,LAW-LAW,03,False,2014-11-21 10:38:26.327000000,STPPE_Batch,2015-09-25 14:37:50.100000000,suwilki
050,CITY AUDITOR-CITY AUDITOR,05,False,2014-11-21 10:38:26.333000000,STPPE_Batch,2014-11-21 10:38:26.333000000,STPPE_Batch
070,CITY CLERK-CITY CLERK,07,False,2014-11-21 10:38:26.343000000,STPPE_Batch,2014-11-21 10:38:26.343000000,STPPE_Batch
090,CITY PROS-CITY PROSECUTOR,09,False,2014-11-21 10:38:26.350000000,STPPE_Batch,2014-11-21 10:38:26.350000000,STPPE_Batch
110,CIVIL SERVICE-CIVIL SERVICE,11,False,2014-11-21 10:38:26.357000000,STPPE_Batch,2014-11-21 10:38:26.357000000,STPPE_Batch
130,CITY MANAGER-CITY MANAGER,13,False,2014-11-21 10:38:26.367000000,STPPE_Batch,2014-11-21 10:38:26.367000000,STPPE_Batch
150,FM-FINANCIAL MANAGEMENT,15,False,2014-11-21 10:38:26.373000000,STPPE_Batch,2014-11-21 10:38:26.373000000,STPPE_Batch
151,FM-ACCOUNTING,15,False,2014-11-21 10:38:26.380000000,STPPE_Batch,2014-11-21 10:38:26.380000000,STPPE_Batch
152,FM-COMMERCIAL SERVICES,15,False,2014-11-21 10:38:26.390000000,STPPE_Batch,2014-11-21 10:38:26.390000000,STPPE_Batch
153,FM-BUDGET MANAGEMENT,15,False,2014-11-21 10:38:26.397000000,STPPE_Batch,2014-11-21 10:38:26.397000000,STPPE_Batch
154,FM-TREASURY OPERATIONS,15,False,2014-11-21 10:38:26.407000000,STPPE_Batch,2014-11-21 10:38:26.407000000,STPPE_Batch
