ClassCode,ClassDesc,ClassType,Disabled,CreateDT,CreateUser,LastUpdateDT,LastUpdateUser
A02NN,ADMIN ASSISTANT-CITY MANAGER,MISC,False,2014-11-21 10:45:51.850000000,STPPE_Batch,2014-11-21 10:45:51.850000000,STPPE_Batch
A03NN,ASST CHIEF OF POLICE,SWORN,False,2014-11-21 10:45:51.813000000,STPPE_Batch,2014-11-21 10:45:51.813000000,STPPE_Batch
A04NN,ASST CITY ATTORNEY,MISC,False,2014-11-21 10:45:51.887000000,STPPE_Batch,2014-11-21 10:45:51.887000000,STPPE_Batch
A05NN,ASST CITY AUDITOR,MISC,False,2014-11-21 10:45:51.830000000,STPPE_Batch,2014-11-21 10:45:51.830000000,STPPE_Batch
A07NN,ASST CITY MANAGER,MISC,False,2014-11-21 10:45:51.953000000,STPPE_Batch,2014-11-21 10:45:51.953000000,STPPE_Batch
A08NN,ASST CITY PROSECUTOR,MISC,False,2014-11-21 10:45:51.937000000,STPPE_Batch,2014-11-21 10:45:51.937000000,STPPE_Batch
A18NN,ASST FIRE CHIEF,SWORN,False,2014-11-21 10:45:51.973000000,STPPE_Batch,2015-09-25 14:38:12.820000000,suwilki
A23NN,CHIEF OF POLICE,SWORN,False,2014-11-21 10:45:52.007000000,STPPE_Batch,2014-11-21 10:45:52.007000000,STPPE_Batch
A24NN,CITY ENGINEER,MISC,False,2014-11-21 10:45:51.990000000,STPPE_Batch,2014-11-21 10:45:51.990000000,STPPE_Batch
A26NN,DIRECTOR OF LIBRARY SERVICES,MISC,False,2014-11-21 10:45:52.023000000,STPPE_Batch,2014-11-21 10:45:52.023000000,STPPE_Batch
A29NN,ADMIN OFFICER-PUB SVC/IR,MISC,False,2014-11-21 10:45:52.040000000,STPPE_Batch,2014-11-21 10:45:52.040000000,STPPE_Batch
A34NN,DIRECTOR OF LONG BEACH AIRPORT,MISC,False,2014-11-21 10:45:52.083000000,STPPE_Batch,2014-11-21 10:45:52.083000000,STPPE_Batch
A38NN,DIRECTOR OF COMMUNITY DEVELPMT,MISC,False,2014-11-21 10:45:52.060000000,STPPE_Batch,2014-11-21 10:45:52.060000000,STPPE_Batch
A41NN,MGR-MARINE OPERATIONS,MISC,False,2014-11-21 10:45:52.100000000,STPPE_Batch,2014-11-21 10:45:52.100000000,STPPE_Batch
A44NN,DIRECTOR OF DEVELOPMENT SVCS,MISC,False,2014-11-21 10:45:52.173000000,STPPE_Batch,2014-11-21 10:45:52.173000000,STPPE_Batch
A45NN,MGR-PUBLIC SERVICE,MISC,False,2014-11-21 10:45:52.153000000,STPPE_Batch,2014-11-21 10:45:52.153000000,STPPE_Batch
A49NN,FIRE CHIEF,SWORN,False,2014-11-21 10:45:52.137000000,STPPE_Batch,2014-11-21 10:45:52.137000000,STPPE_Batch
A50NN,DIRECTOR-ENERGY RESOURCES,MISC,False,2014-11-21 10:45:52.120000000,STPPE_Batch,2018-10-11 06:11:21.110000000,PT_Batch
A59NN,EXECUTIVE ASST/MAYOR & COUNCIL,MISC,False,2014-11-21 10:45:52.190000000,STPPE_Batch,2014-11-21 10:45:52.190000000,STPPE_Batch
A60NN,ADMIN OFFICER-AIRPORT,MISC,False,2014-11-21 10:45:52.207000000,STPPE_Batch,2014-11-21 10:45:52.207000000,STPPE_Batch
A64NN,CITY TREASURER,MISC,False,2014-11-21 10:45:52.260000000,STPPE_Batch,2014-11-21 10:45:52.260000000,STPPE_Batch
A65NN,DIRECTOR OF FINANCIAL MGMT,MISC,False,2014-11-21 10:45:52.277000000,STPPE_Batch,2014-11-21 10:45:52.277000000,STPPE_Batch
A66NN,DIRECTOR OF TECHNOLOGY SVCS,MISC,False,2014-11-21 10:45:52.223000000,STPPE_Batch,2014-11-21 10:45:52.223000000,STPPE_Batch
A67NN,DIRECTOR OF PUBLIC WORKS,MISC,False,2014-11-21 10:45:52.240000000,STPPE_Batch,2014-11-21 10:45:52.240000000,STPPE_Batch
A70NN,ADMIN OFFICER-LIBRARY SERVICES,MISC,False,2014-11-21 10:45:52.310000000,STPPE_Batch,2014-11-21 10:45:52.310000000,STPPE_Batch
A73NN,ADMIN OFFICER-PUBLIC WORKS,MISC,False,2014-11-21 10:45:52.293000000,STPPE_Batch,2014-11-21 10:45:52.293000000,STPPE_Batch
A76NN,ADMIN ASST-MAYOR & COUNCIL,MISC,False,2014-11-21 10:45:52.330000000,STPPE_Batch,2014-11-21 10:45:52.330000000,STPPE_Batch
A77NN,DEPUTY CITY MANAGER,MISC,False,2014-11-21 10:45:52.347000000,STPPE_Batch,2014-11-21 10:45:52.347000000,STPPE_Batch
A78NN,MGR-FLEET SERVICES,MISC,False,2014-11-21 10:45:52.367000000,STPPE_Batch,2014-11-21 10:45:52.367000000,STPPE_Batch
A79NN,ADMINISTRATIVE SVCS OFFICER,MISC,False,2014-11-21 10:45:52.417000000,STPPE_Batch,2014-11-21 10:45:52.417000000,STPPE_Batch
A82NN,EMPLOYMENT SVCS OFCR-CIVIL SVC,MISC,False,2014-11-21 10:45:52.400000000,STPPE_Batch,2014-11-21 10:45:52.400000000,STPPE_Batch
A83NN,MGR-PUBLIC WORKS OPERATIONS,MISC,False,2014-11-21 10:45:52.380000000,STPPE_Batch,2014-11-21 10:45:52.380000000,STPPE_Batch
A87NN,MGR-COMMERCIAL SERVICES,MISC,False,2014-11-21 10:45:52.433000000,STPPE_Batch,2014-11-21 10:45:52.433000000,STPPE_Batch
A88NN,EXECUTIVE DIRECTOR-CIVIL SVC,MISC,False,2014-11-21 10:45:52.450000000,STPPE_Batch,2014-11-21 10:45:52.450000000,STPPE_Batch
A89NN,DEPUTY DIRECTOR-CIVIL SERVICE,MISC,False,2014-11-21 10:45:52.467000000,STPPE_Batch,2014-11-21 10:45:52.467000000,STPPE_Batch
