DeptCode,DeptDesc,FamisOrgCode,ADOU,DefaultUserGroup,Disabled,CreateDT,CreateUser,LastUpdateDT,LastUpdateUser
01,LEGISLATIVE,LD,,,False,2014-11-21 10:15:11.387000000,STPPE_Batch,2014-11-21 10:15:11.387000000,STPPE_Batch
03,LAW,LW,,,False,2014-11-21 10:15:11.603000000,STPPE_Batch,2014-11-21 10:15:11.603000000,STPPE_Batch
05,CITY AUDITOR,AU,,,False,2014-11-21 10:15:11.617000000,STPPE_Batch,2014-11-21 10:15:11.617000000,STPPE_Batch
07,CITY CLERK,CC,,,False,2014-11-21 10:15:11.623000000,STPPE_Batch,2014-11-21 10:15:11.623000000,STPPE_Batch
09,CITY PROSECUTOR,CP,,,False,2014-11-21 10:15:11.627000000,STPPE_Batch,2014-11-21 10:15:11.627000000,STPPE_Batch
11,CIVIL SERVICE,CS,,,False,2014-11-21 10:15:11.633000000,STPPE_Batch,2014-11-21 10:15:11.633000000,STPPE_Batch
13,CITY MANAGER,CM,,,False,2014-11-21 10:15:11.640000000,STPPE_Batch,2014-11-21 10:15:11.640000000,STPPE_Batch
15,FINANCIAL MANAGEMENT,FM,,,False,2014-11-21 10:15:11.647000000,STPPE_Batch,2014-11-21 10:15:11.647000000,STPPE_Batch
17,TECHNOLOGY AND INNOVATION,TS,,,False,2014-11-21 10:15:11.653000000,STPPE_Batch,2019-01-03 06:11:17.653000000,PT_Batch
19,HUMAN RESOURCES,HR,,,False,2014-11-21 10:15:11.657000000,STPPE_Batch,2014-11-21 10:15:11.657000000,STPPE_Batch
22,ECONOMIC DEVELOPMENT,EP,,,False,2015-09-28 15:05:17.270000000,PT_Batch,2019-01-03 06:11:17.653000000,PT_Batch
23,FIRE,FD,,,False,2014-11-21 10:15:11.663000000,STPPE_Batch,2014-11-21 10:15:11.663000000,STPPE_Batch
24,ENERGY RESOURCES,GO,,,False,2014-11-21 10:15:11.670000000,STPPE_Batch,2019-01-04 06:11:17.253000000,PT_Batch
27,HEALTH & HUMAN SERVICES,HE,,,False,2014-11-21 10:15:11.677000000,STPPE_Batch,2014-11-21 10:15:11.677000000,STPPE_Batch
33,LIBRARY SERVICES,LS,,,False,2014-11-21 10:15:11.680000000,STPPE_Batch,2014-11-21 10:15:11.680000000,STPPE_Batch
35,DEVELOPMENT SERVICES,DV,,,False,2014-11-21 10:15:11.687000000,STPPE_Batch,2014-11-21 10:15:11.687000000,STPPE_Batch
37,POLICE,PD,,,False,2014-11-21 10:15:11.693000000,STPPE_Batch,2014-11-21 10:15:11.693000000,STPPE_Batch
41,DISASTER PRE & EMR COMM,DC,,,False,2014-11-21 10:15:11.700000000,STPPE_Batch,2014-11-21 10:15:11.700000000,STPPE_Batch
50,PUBLIC WORKS,PW,,,False,2014-11-21 10:15:11.703000000,STPPE_Batch,2014-11-21 10:15:11.703000000,STPPE_Batch
51,AIRPORT,AP,,,False,2014-11-21 10:15:11.710000000,STPPE_Batch,2014-11-21 10:15:11.710000000,STPPE_Batch
70,PARKS, RECREATION & MARINE,PR,,,False,2014-11-21 10:15:11.717000000,STPPE_Batch,2014-11-21 10:15:11.717000000,STPPE_Batch
83,HARBOR,HA,,,False,2014-11-21 10:15:11.723000000,STPPE_Batch,2014-11-21 10:15:11.723000000,STPPE_Batch
85,WATER,WA,,,False,2014-11-21 10:15:11.727000000,STPPE_Batch,2014-11-21 10:15:11.727000000,STPPE_Batch
99,XX,XX,XX,XX,True,2015-02-09 12:25:19.073000000,eulee,2015-02-09 12:25:30.447000000,eulee
