DivCode,DivDesc,BurCode,CMDept,PersUnitCode,FamisOrg,FamisDefaultIndex,Disabled,CreateDT,CreateUser,LastUpdateDT,LastUpdateUser
01000,LEGISLATIVE-MAYOR'S OFFICE,010,N,011,LDMA            ,LDMAYOR     ,False,2014-12-05 10:55:19.787000000,STPPE_Batch,2016-10-12 06:11:36.127000000,PT_Batch
01100,LEGISLATIVE-COUNCIL DISTRICT 1,011,N,011,LD01            ,LD01        ,False,2016-10-12 06:11:36.143000000,PT_Batch,2016-10-12 06:11:36.143000000,PT_Batch
01200,LEGISLATIVE-COUNCIL DISTRICT 2,012,N,011,LD02            ,LD02        ,False,2016-10-12 06:11:36.143000000,PT_Batch,2016-10-12 06:11:36.143000000,PT_Batch
01300,LEGISLATIVE-COUNCIL DISTRICT 3,013,N,011,LD03            ,LD03        ,False,2016-10-12 06:11:36.143000000,PT_Batch,2016-10-12 06:11:36.143000000,PT_Batch
01400,LEGISLATIVE-COUNCIL DISTRICT 4,014,N,011,LD04            ,LD04        ,False,2016-10-12 06:11:36.157000000,PT_Batch,2016-10-12 06:11:36.157000000,PT_Batch
01500,LEGISLATIVE-COUNCIL DISTRICT 5,015,N,011,LD05            ,LD05        ,False,2016-10-12 06:11:36.157000000,PT_Batch,2016-10-12 06:11:36.157000000,PT_Batch
01600,LEGISLATIVE-COUNCIL DISTRICT 6,016,N,011,LD06            ,LD06        ,False,2016-10-12 06:11:36.157000000,PT_Batch,2016-10-12 06:11:36.157000000,PT_Batch
01700,LEGISLATIVE-COUNCIL DISTRICT 7,017,N,011,LD07            ,LD07        ,False,2016-10-12 06:11:36.157000000,PT_Batch,2016-10-12 06:11:36.157000000,PT_Batch
01800,LEGISLATIVE-COUNCIL DISTRICT 8,018,N,011,LD08            ,LD08        ,False,2016-10-12 06:11:36.173000000,PT_Batch,2016-10-12 06:11:36.173000000,PT_Batch
01900,LEGISLATIVE-COUNCIL DISTRICT 9,019,N,011,LD09            ,LD09        ,False,2016-10-12 06:11:36.173000000,PT_Batch,2016-10-12 06:11:36.173000000,PT_Batch
03000,LAW,030,N,031,LWGG            ,LWGG        ,False,2014-12-05 10:55:19.847000000,STPPE_Batch,2014-12-05 10:55:19.847000000,STPPE_Batch
03001,LAW-WORKERS' COMPENSATION,030,N,031,LWCC01          ,LWWC        ,False,2014-12-05 10:55:19.860000000,STPPE_Batch,2015-09-25 14:38:04.013000000,suwilki
05000,CITY AUDITOR,050,N,051,AU              ,AU100       ,False,2014-12-05 10:55:19.900000000,STPPE_Batch,2014-12-05 10:55:19.900000000,STPPE_Batch
07001,CITY CLERK-CITY CLERK,070,N,071,CCEO            ,CCADMIN     ,False,2014-12-05 10:55:19.913000000,STPPE_Batch,2014-12-05 10:55:19.913000000,STPPE_Batch
07002,CITY CLERK-ELECTIONS,070,N,072,CCEL            ,CCELABS     ,False,2014-12-05 10:55:19.927000000,STPPE_Batch,2014-12-05 10:55:19.927000000,STPPE_Batch
09000,CITY PROSECUTOR,090,N,091,CP              ,CP09100     ,False,2014-12-05 10:55:19.937000000,STPPE_Batch,2014-12-05 10:55:19.937000000,STPPE_Batch
11001,CIVIL SERVICE-ADMIN/SPRT SVCS,110,N,112,CSEO            ,CSSUP       ,False,2014-12-05 10:55:19.950000000,STPPE_Batch,2014-12-05 10:55:19.950000000,STPPE_Batch
11002,CIVIL SERVICE-RECRUIT & SELECT,110,N,113,CSDDES          ,CSTESG      ,False,2014-12-05 10:55:19.963000000,STPPE_Batch,2016-04-14 16:03:14.880000000,PT_Batch
11003,CIVIL SERVICE-SPECIAL PROJECTS,110,N,114,CSDDSP          ,CSSPEC      ,False,2014-12-05 10:55:19.973000000,STPPE_Batch,2016-04-14 16:03:14.897000000,PT_Batch
13000,CITY MANAGER,130,Y,131,CM              ,CMCITYMGT   ,False,2014-12-05 10:55:19.987000000,STPPE_Batch,2014-12-05 10:55:19.987000000,STPPE_Batch
15001,FM-ADMINISTRATION,150,Y,501,FMDH            ,FM100002    ,False,2014-12-05 10:55:19.997000000,STPPE_Batch,2014-12-05 10:55:19.997000000,STPPE_Batch
15002,FM-ACCOUNTING SYSTEM,150,Y,501,FMB2D1          ,FM210001    ,False,2014-12-05 10:55:20.010000000,STPPE_Batch,2014-12-05 10:55:20.010000000,STPPE_Batch
15100,FM-ACCTG-ADMINISTRATION,151,Y,511,FMB2D1          ,FM210001    ,False,2014-12-05 10:55:20.023000000,STPPE_Batch,2014-12-05 10:55:20.023000000,STPPE_Batch
